n  |dist(asec)|prob. |     link ref      |     link      |        identifier         |typ| coord1                    |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |bib |not
306| 341738.56|    43|2015ApJS..219...33G|B              |2MASS J05484454-2942551    |LM*|087.185609 -29.715324      |     ~|     ~|     ~|     ~|     ~|M4::           |   1|   0
307| 175683.08|    75|2013ApJ...762...88M|S              |ASAS J081742-8243.4        |Ro*|124.41433 -82.72494        |     ~|13.34 |11.621|     ~| 8.928|M3.5           |  18|   0
308| 290154.65|    14|2015ApJ...798...73G|B              |2MASS J21332663-3023385    |*  |323.360983 -30.394050      |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
309| 358746.47|    56|2015ApJS..219...33G|B              |UCAC3 116-746              |LM*|004.315483 -32.331681      |     ~|16.81 |15.45 |15.21 |12.37 |M4.5           |   5|   0
310| 319526.59|    72|2012ApJ...758...56S|B              |V* WW PsA                  |BY*|341.24152611 -33.25047583  |14.583|13.627|12.111|10.916| 9.109|M4IVe          |  78|   1
311| 393971.92|   100|2014ApJ...788...81M|B              |2MASS J05241914-1601153    |*  |081.07979 -16.02092        |     ~|     ~|     ~|     ~|     ~|M4.5           |  18|   0
312| 151228.15|   100|2014ApJ...788...81M|B              |2MASS J18420694-5554254    |Ro*|280.52896 -55.90708        |     ~|     ~|13.535|     ~|10.725|M3.5           |  15|   0
313| 121176.71|   100|2010ApJ...723.1599M|B              |HD 155555C                 |PM*|259.380388 -66.951525      |     ~|14.36 |12.82 |12.33 |     ~|M3Ve           |  43|   1
314| 566135.74|    75|2014A&A...567A..52K|S              |EPIC 211046195             |LM*|053.758696 +23.709892      |     ~|     ~|     ~|17.67 |     ~|M8.5V          |  38|   1
315| 441825.13|    84|2015ApJ...814..118B|B              |PSO J334.1193+19.8800      |IR |334.11925 +19.88003        |     ~|     ~|     ~|     ~|     ~|T3             |   1|   0
316| 444031.18|   100|2012AJ....143..114S|B              |UCAC4 630-040475           |PM*|112.3795050 +35.9334017    |     ~|     ~|11.876|11.451|     ~|M1V            |  14|   0
317| 356550.80|    43|2015ApJ...798...73G|B              |2MASS J05120636-2949540    |BD*|078.026529 -29.831669      |     ~|     ~|     ~|     ~|     ~|L5             |  15|   0
318| 228025.85|   100|2014ApJ...788...81M|B              |UCAC3 116-474938           |PM*|299.012242 -32.121869      |     ~|14.79 |13.23 |12.98 |     ~|M4             |  29|   0
319|  96683.02|    75|2013ApJ...762...88M|S              |HD 124498                  |BY*|213.58898603 -15.35604310  |     ~|11.74 |10.222|10.072| 8.493|K5.5Vkee       |  39|   0
320| 498371.49|    75|2015ApJS..219...33G|S              |2MASS J00464841+0715177    |BD*|011.701742 +07.254928      |     ~|     ~|     ~|     ~|     ~|M9.5:V         |  14|   0
321| 373901.36|    50|2012AJ....143...80S|S              |MCC 549                    |SB*|144.0663083 +37.5293078    |     ~|12.75 |11.015|10.539|     ~|M0.0V          |  25|   0
322| 339456.31|    75|2010AJ....140..119S|S              |CD-44 753                  |PM*|037.6350458 -43.7064953    |     ~|11.380|10.309| 9.802| 8.869|K5V(e)         |  23|   0
323| 121145.51|     0|                  ~|(null)         |HD 155555                  |RS*|259.3562729 -66.9510364    | 7.795| 7.499| 6.723|     ~| 6.39 |K1Vp           | 139|   2
324| 120021.07|    99|2014ApJ...788...81M|B              |2MASS J17150219-3333398    |Ro*|258.75917 -33.56106        |     ~|     ~|10.933|     ~| 9.066|M0             |  12|   0
325| 413204.05|    23|2015ApJ...798...73G|B              |2MASS J03341065-2130343    |PM*|053.54442 -21.50953        |     ~|     ~|     ~|16.90 |     ~|M6             |   6|   0
326| 426588.60|    75|2015ApJS..219...33G|S              |2MASSI J2323134-024435     |BD*|350.806159 -02.743358      |     ~|     ~|     ~|18.642|16.249|M8.0V          |   5|   0
327| 338858.83|    34|2015ApJ...798...73G|B              |2MASS J23355015-3401477    |LM*|353.958962 -34.029933      |     ~|     ~|     ~|     ~|     ~|M6:            |   3|   0
328| 457037.58|    99|2013ApJ...762...88M|B              |GJ 3305                    |TT*|069.406113 -02.491236      |     ~|12.04 |10.59 |     ~| 8.59 |M1.1V          |  83|   0
329| 132543.43|    99|2013ApJ...762...88M|B              |HD 164249A                 |PM*|270.764204 -51.649008      |     ~| 7.438| 7.007| 7.90 |     ~|F6V            |   6|   0
330| 299780.55|    75|2013ApJ...762...88M|S              |V* AZ Cap                  |BY*|314.0114112 -17.1816123    |     ~|11.60 |10.477|10.180| 8.847|K7             |  61|   0
331| 429659.35|    75|2010AJ....140..119S|S              |2MASS J06561225+1813239    |PM*|104.051062 +18.223328      |     ~|     ~|14.00 |13.09 |     ~|~              |   1|   0
332| 574891.36|    50|2012AJ....143...80S|S              |TYC 2288-758-1             |Ro*|012.1193996 +36.5429614    |     ~|12.71 |11.54 |     ~|     ~|~              |   3|   0
333| 259835.98|    99|2013ApJ...762...88M|B              |V* AU Mic                  |BY*|311.28971448 -31.34090070  |     ~|10.05 | 8.627| 9.078| 6.593|M1VeBa1        | 513|   0
334| 384540.31|    75|2013ApJ...762...88M|S              |BD-21 1074B                |** |076.70613 -21.58439        |     ~|12.81 |11.08 | 9.92 | 8.45 |M3?            |  28|   0
335| 429214.48|   100|2014ApJ...788...81M|B              |UCAC3 176-23654            |PM*|083.499254 -02.358994      |     ~|13.91 |12.42 |12.04 | 9.897|M3             |  18|   0
336| 405107.73|    61|2015ApJS..219...33G|B              |2MASS J23102196-0748531    |LM*|347.591533 -07.814778      |     ~|     ~|     ~|     ~|     ~|M5.0           |   4|   0
337| 245468.77|    75|2013ApJ...762...88M|S              |UCAC3 124-580676           |SB*|302.500154 -28.028067      |     ~|14.49 |12.99 |12.52 |10.09 |M3             |  23|   0
338| 459567.76|   100|2010A&A...520A..15M|B              |V* V1005 Ori               |BY*|074.8951425 +01.7835197    |     ~|11.48 |10.107| 9.603| 8.239|M0Ve           | 146|   0
339| 203523.65|    92|2014ApJ...788...81M|B              |L 186-67                   |** |125.69771 -57.44806        |     ~|14.4  |     ~|12.98 |10.28 |M4.5           |  17|   0
340| 233721.01|    75|2010AJ....140..119S|S              |CD-61 1439                 |Ro*|099.9584313 -61.4782025    |12.224|11.043| 9.746| 9.11 | 8.223|K7V(e)         |  42|   0
341| 195105.54|    75|2013MNRAS.435.1376M|B              |UCAC2 19527490             |PM*|284.519396 -29.892267      |     ~|     ~|     ~|     ~|     ~|~              |   6|   0
342| 584309.23|    45|2015ApJ...798...73G|B              |2MASS J02143767+2435486    |*  |033.656979 +24.596861      |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
343| 255405.02|    99|2013ApJ...762...88M|B              |NAME AT Mic A              |PM*|310.463150 -32.435161      |     ~|12.67 |10.36 |10.67 | 7.40 |M4.5Ve         |  25|   0
344| 152623.26|    99|2013ApJ...762...88M|B              |TWA 22                     |LXB|154.36204 -53.90736        |     ~|15.69 |13.96 |13.72 |     ~|M5             |  55|   0
345| 451627.85|    50|2012AJ....143...80S|S              |UCAC3 323-42022            |PM*|140.656908 +71.368672      |     ~|13.02 |11.62 |11.09 |     ~|M0.0Ve         |   5|   0
346| 349754.54|    75|2013ApJ...762...88M|S              |2MASS J05422387-2758031    |*  |085.59946 -27.96753        |     ~|     ~|     ~|     ~|     ~|M4.5           |   6|   0
347| 520975.13|    50|2012AJ....143...80S|S              |2MASS J00194303+1951117    |PM*|004.92933 +19.85325        |     ~|     ~|15.7  |     ~|     ~|M4             |   9|   0
348| 229248.68|    75|2013ApJ...762...88M|S              |2MASS J20013718-3313139    |Ro*|300.40492 -33.22056        |     ~|     ~|12.316|     ~|10.214|M1             |  20|   1
349| 336119.65|   100|2014ApJ...788...81M|B              |UCAC2 20312880             |SB*|093.305462 -27.701556      |     ~|13.77 |12.30 |11.10 | 9.52 |M3.5           |  20|   0
350| 374883.32|    75|2013ApJ...762...88M|S              |2MASS J06161032-1320422    |*  |094.04304 -13.34508        |     ~|     ~|     ~|     ~|     ~|M4             |  10|   0
351| 430749.74|    43|2015ApJ...798...73G|B              |2MASS J23301129-0237227    |PM*|352.547075 -02.622978      |     ~|     ~|     ~|14.71 |     ~|M6.0           |   4|   0
352| 319526.59|    99|2013ApJ...762...88M|B              |V* WW PsA                  |BY*|341.24152611 -33.25047583  |14.583|13.627|12.111|10.916| 9.109|M4IVe          |  78|   1
353| 384532.62|   100|2010A&A...520A..15M|B              |BD-21 1074A                |Fl*|076.7079871 -21.5858650    |     ~|11.86 |10.41 | 9.40 | 9.07 |M2             |  37|   0
354| 373901.36|    75|2012AJ....144..109S|S              |MCC 549                    |SB*|144.0663083 +37.5293078    |     ~|12.75 |11.015|10.539|     ~|M0.0V          |  25|   0
355| 393534.75|    34|2015ApJS..219...33G|B              |2MASS J23532556-1844402    |LM*|358.356508 -18.744525      |     ~|     ~|     ~|     ~|     ~|M6.5           |   3|   0
356| 522092.75|    50|2012AJ....143...80S|S              |UCAC4 610-019526           |PM*|079.9715950 +31.9927287    |     ~|     ~|12.738|12.317|     ~|~              |   3|   0
357| 440624.92|   100|2014ApJ...788...81M|B              |UCAC2 26367237             |** |028.4615583 -14.9973192    |     ~|13.49 |12.01 |11.91 | 9.349|M3             |  17|   0
358| 574087.26|    75|2010AJ....140..119S|S              |TYC 3681-1064-1            |PM*|017.7264762 +58.3703625    |     ~|13.37 |12.075|11.542|     ~|~              |   3|   0
359|  92394.26|    99|2013ApJ...762...88M|B              |* d Sco                    |PM*|244.57458402 -28.61402133  |     ~| 4.804| 4.782|     ~|     ~|A1Va           |  81|   0
360| 404852.22|    85|2015ApJ...798...73G|B              |2MASS J03132588-2447246    |LM*|048.357833 -24.790175      |     ~|     ~|     ~|     ~|     ~|M5.5:pec       |   2|   0
361| 186679.76|    75|2013ApJ...762...88M|S              |CD-31 16041                |Y*O|282.6853637 -31.7964811    |     ~|12.25 |11.191|10.745| 9.432|K8Ve           |  29|   0
362| 599394.59|    99|2013ApJ...762...88M|B              |HD 14082B                  |PM*|034.3530746 +28.7417794    |     ~| 8.33 | 7.74 |     ~|     ~|G2V            |  59|   1
363| 444031.18|    50|2012AJ....143...80S|S              |UCAC4 630-040475           |PM*|112.3795050 +35.9334017    |     ~|     ~|11.876|11.451|     ~|M1V            |  14|   0
364| 231554.55|    75|2015ApJS..219...33G|S              |2MASS J07202582-5617224    |LM*|110.107601 -56.289558      |     ~|     ~|     ~|     ~|     ~|M6             |   1|   0
365| 173162.60|    75|2013ApJ...762...88M|S              |V* EQ Cha                  |Or*|131.986525 -78.914775      |     ~|13.900|13.275|11.800|10.795|M3             |  60|   0
366| 255402.68|    99|2013ApJ...762...88M|B              |NAME AT Mic B              |PM*|310.463112 -32.436172      |     ~|12.64 |11.34 |10.79 |     ~|M4.5Ve         |  46|   0
367| 460314.05|    11|2015ApJ...798...73G|B              |2MASS J00583298-0547135    |*  |014.637446 -05.787089      |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
368| 513842.30|    92|2015ApJS..219...33G|B              |[SLS2012] PYC J00390+1330  |LM*|009.764271 +13.504731      |     ~|     ~|15.7  |     ~|     ~|M4pec          |   3|   0
369| 459567.76|   100|2012AJ....143...80S|B              |V* V1005 Ori               |BY*|074.8951425 +01.7835197    |     ~|11.48 |10.107| 9.603| 8.239|M0Ve           | 146|   0
370| 526722.65|    16|2015ApJ...798...73G|B              |2MASS J23392527+3507165    |BD*|354.855329 +35.121258      |     ~|     ~|     ~|     ~|     ~|L4pec          |   6|   0
371| 397982.50|    50|2012AJ....143...80S|S              |UCAC3 192-64306            |PM*|104.923217 +05.761114      |     ~|13.98 |12.50 |11.979|     ~|M2.5V          |   5|   0
372| 456777.99|    33|2015ApJS..219...33G|B              |SIPS J0058-0651            |BD*|014.677221 -06.856650      |     ~|     ~|     ~|     ~|17.671|L0V            |  28|   0
373| 510369.07|    33|2015ApJS..219...33G|B              |2MASS J00425923+1142104    |LM*|010.746825 +11.702914      |     ~|     ~|     ~|     ~|     ~|M9             |   4|   0
374| 203269.40|    68|2015ApJ...798...73G|B              |2MASS J19574428-4548351    |*  |299.434500 -45.809758      |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
375| 268898.85|    11|2015ApJ...798...73G|B              |2MASS J20542341-2947370    |*  |313.597550 -29.793633      |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
376| 352019.84|    50|2012AJ....143...80S|S              |UCAC4 508-048036           |PM*|127.2671448 +11.4181342    |     ~|     ~|12.245|11.865|     ~|~              |   5|   1
377| 333206.21|    43|2015ApJ...798...73G|B              |2MASS J23433470-3646021    |BD*|355.894608 -36.767278      |     ~|     ~|     ~|     ~|     ~|L3-L6          |   6|   0
378| 303447.13|    75|2013ApJ...762...88M|S              |GSC 06354-00357            |Ro*|317.52233 -19.33261        |     ~|     ~|11.66 |     ~|     ~|M2             |  23|   0
379| 488059.60|    50|2012AJ....143...80S|S              |UCAC3 300-159113           |PM*|328.8514924 +59.6436537    |     ~|15.13 |13.53 |13.221|     ~|M3.5V          |  10|   0
380| 459567.76|    99|2013ApJ...762...88M|B              |V* V1005 Ori               |BY*|074.8951425 +01.7835197    |     ~|11.48 |10.107| 9.603| 8.239|M0Ve           | 146|   0
381| 195114.92|   100|2014ApJ...788...81M|B              |TYC 6872-1011-1            |Ro*|284.5173292 -29.8846050    |     ~|13.96 |11.800|11.395| 9.637|M0Ve           |  23|   0
382| 213533.37|    96|2014ApJ...788...81M|B              |BD-10 4662                 |TT*|275.09479049 -10.18711841  |     ~|     ~|10.635|     ~| 8.884|K5Ve+K7Ve      |  34|   0
383| 308052.50|    75|2013ApJ...762...88M|S              |SCR J0533-4257             |PM*|083.36679 -42.95569        |     ~|     ~|     ~|     ~|     ~|M4.5           |  12|   0
384| 319526.59|   100|2010A&A...520A..15M|B              |V* WW PsA                  |BY*|341.24152611 -33.25047583  |14.583|13.627|12.111|10.916| 9.109|M4IVe          |  78|   1
385| 239522.00|    89|2015ApJ...798...73G|B              |2MASS J20334670-3733443    |LM*|308.444608 -37.562322      |     ~|     ~|     ~|15.64 |     ~|M5.0           |   5|   0
386| 203712.30|    75|2013ApJ...762...88M|S              |TYC 9114-1267-1            |PM*|320.3695354 -66.9184459    |     ~|11.94 |10.595|10.244|     ~|K7V            |  15|   0
387| 150744.70|    99|2013ApJ...762...88M|B              |CD-64 1208                 |** |281.403763 -64.863142      |     ~|10.52 | 9.433| 9.69 |     ~|K5Ve           |  51|   0
388| 436050.41|    34|2015ApJ...798...73G|B              |UCAC3 175-263808           |PM*|355.466596 -02.941589      |     ~|16.75 |15.29 |15.30 |     ~|~              |   2|   0
389| 151357.34|    75|2013ApJ...762...88M|S              |Smethells 20               |PM*|281.7189724 -62.1768398    |     ~|13.07 |11.831|11.612| 9.99 |M1Ve           |  30|   0
